label,message
scam,"Mohon jangan bagikan kode ini ke siapa pun selain petugas resmi."
scam,"Akun Anda sedang diverifikasi ulang demi keamanan."
scam,"Terjadi kesalahan pembayaran pada transaksi terakhir Anda."
scam,"Pembayaran tertunda, mohon cek kembali data rekening."
scam,"Kami membutuhkan konfirmasi cepat agar dana bisa dicairkan."
scam,"Transfer masuk gagal diverifikasi. Silakan update informasi sekarang."
scam,"Tagihan Anda hampir jatuh tempo. Hindari denda dengan membayar sekarang."
scam,"Kesalahan sistem menyebabkan akun Anda terkunci sementara."
scam,"Nomor Anda memenangkan program loyalitas pelanggan."
scam,"Tersedia pekerjaan online ringan hanya modal HP."
scam,"Kerja remote tanpa pengalaman, pendapatan harian langsung cair."
scam,"Anda memenuhi syarat pinjaman tanpa agunan."
scam,"Dana tunai bisa cair hari ini tanpa ribet."
scam,"Pengajuan bantuan sosial Anda telah disetujui."
scam,"Program subsidi pemerintah tersedia untuk penerima terpilih."
scam,"Klaim bantuan sebelum periode berakhir malam ini."
scam,"Anda mendapatkan promo terbatas khusus pengguna baru."
scam,"Voucher gratis tersedia untuk akun Anda."
scam,"Poin reward Anda akan hangus jika tidak segera ditukar."
scam,"Akun Anda terancam diblokir permanen."
scam,"Keamanan akun Anda membutuhkan tindakan segera."
scam,"Mohon update password sebelum akses dinonaktifkan."
scam,"Konfirmasi data pribadi Anda untuk menghindari gangguan layanan."
scam,"Terdapat percobaan login dari lokasi baru."
scam,"Segera amankan akun Anda sekarang juga."
scam,"Kak, ini admin resmi ya, kami bantu proses pemulihan akun."
scam,"Mohon jangan abaikan pesan ini karena bersifat penting."
scam,"Terakhir, verifikasi identitas dibutuhkan agar akun tetap aktif."
scam,"Hadiah Anda akan hangus dalam 24 jam jika tidak diklaim."
scam,"Silakan cek link berikut untuk informasi lengkap."
scam,"Kami menunggu konfirmasi Anda agar proses dapat dilanjutkan."
scam,"Segera lakukan tindakan untuk menghindari penonaktifan akun."
scam,"Permintaan pembaruan data diperlukan untuk keamanan."
